"file","samples","max_ready","max_total","max_worker_desired","max_worker_running","last_ready","last_worker_desired","last_worker_running"
"scaling-timeseries-baseline-z-w1-final-f029fc7a.csv","28","555","556","1","1","0","1","1"
"scaling-timeseries-autoscale-z-min1-final-f9026410.csv","41","554","555","8","8","0","1","1"
